ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10492364,HZ233008,04/19/2016 06:00:00 AM,032XX S CALUMET AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,"SCHOOL, PUBLIC, GROUNDS",false,false,0211,002,2,35,14,1179125,1883686,2016,02/10/2018 03:50:01 PM,41.836126824,-87.618221478,(41.836126824, -87.618221478)
5134570,HM714614,11/01/2006 04:00:00 PM,097XX S ELLIS AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,0511,005,8,50,26,1184598,1840632,2006,02/28/2018 03:56:25 PM,41.717856015,-87.599487489,(41.717856015, -87.599487489)
6688695,HR102669,01/02/2009 05:00:00 PM,066XX S ELLIS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,true,false,0321,003,5,42,14,1184031,1861174,2009,02/28/2018 03:56:25 PM,41.774238676,-87.600923771,(41.774238676, -87.600923771)
6169932,HP257041,04/02/2008 10:52:01 AM,006XX N STATE ST,0850,THEFT,ATTEMPT THEFT,SMALL RETAIL STORE,false,false,1834,018,42,8,06,1176261,1904304,2008,02/28/2018 03:56:25 PM,41.892768909,-87.628108939,(41.892768909, -87.628108939)
9752287,HX402054,08/25/2014 03:30:00 PM,010XX N HAMLIN AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,APARTMENT,false,false,1112,011,27,23,26,1150859,1906712,2014,02/10/2018 03:50:01 PM,41.899911733,-87.721337639,(41.899911733, -87.721337639)
7777194,HS585256,02/15/2010 06:30:00 PM,041XX W GRAND AVE,1135,DECEPTIVE PRACTICE,INSURANCE FRAUD,STREET,false,false,2534,025,37,23,11,1148553,1909457,2010,02/04/2016 06:33:39 AM,41.907489121,-87.729736742,(41.907489121, -87.729736742)
6992451,HR395843,06/26/2009 08:41:00 AM,008XX W EVERGREEN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,true,false,1822,018,32,8,14,1170531,1909213,2009,02/28/2018 03:56:25 PM,41.906366808,-87.649008993,(41.906366808, -87.649008993)
2905797,HJ580925,08/22/2003 10:20:00 PM,058XX W 63RD PL,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,false,true,0812,008,13,64,03,1138613,1861828,2003,02/28/2018 03:56:25 PM,41.776974155,-87.767404223,(41.776974155, -87.767404223)
8207787,HT441969,08/10/2011 08:21:00 PM,047XX S PRINCETON AVE,1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,STREET,true,false,0935,009,3,37,15,1175084,1873624,2011,02/10/2018 03:50:01 PM,41.80860717,-87.633350017,(41.80860717, -87.633350017)
10996383,JA323892,06/26/2017 03:45:00 PM,036XX N RECREATION DR,0810,THEFT,OVER $500,PARK PROPERTY,false,false,1925,019,46,6,06,1172031,1924865,2017,02/10/2018 03:50:01 PM,41.949283608,-87.643036076,(41.949283608, -87.643036076)
5862422,HN659030,10/20/2007 08:31:41 AM,049XX S DR MARTIN LUTHER KING JR DR,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0224,002,3,38,03,1179694,1872357,2007,02/28/2018 03:56:25 PM,41.805026135,-87.616480456,(41.805026135, -87.616480456)
8067263,HT299481,05/16/2011 11:05:00 PM,028XX W 40TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,RESIDENTIAL YARD (FRONT/BACK),true,false,0912,009,14,58,18,1158040,1878006,2011,02/04/2016 06:33:39 AM,41.820995861,-87.695744618,(41.820995861, -87.695744618)
2129344,HH370960,05/14/2002 11:45:00 AM,018XX W 103RD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,2212,022,19,72,26,1165898,1836379,2002,02/28/2018 03:56:25 PM,41.706602086,-87.668098564,(41.706602086, -87.668098564)
6335277,HP424501,06/27/2008 09:00:00 PM,086XX S KINGSTON AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0423,004,7,46,07,1194662,1848173,2008,02/10/2018 03:50:01 PM,41.738307887,-87.562380271,(41.738307887, -87.562380271)
8656270,HV331666,06/12/2012 07:15:00 PM,049XX S KEDZIE AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,true,false,0821,008,14,63,06,1155878,1871677,2012,02/04/2016 06:33:39 AM,41.803671998,-87.703846021,(41.803671998, -87.703846021)
5437686,HN271888,04/07/2007 10:30:00 PM,052XX S MASON AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0811,008,23,56,14,1137585,1869345,2007,02/28/2018 03:56:25 PM,41.797620643,-87.770992686,(41.797620643, -87.770992686)
3434221,HK497618,07/15/2004 01:15:00 PM,018XX S PAULINA ST,2820,OTHER OFFENSE,TELEPHONE THREAT,DAY CARE CENTER,false,false,1223,012,25,31,26,1165326,1891309,2004,02/10/2018 03:50:01 PM,41.857349157,-87.668638277,(41.857349157, -87.668638277)
7429537,HS232043,03/29/2010 06:54:00 PM,065XX S MAPLEWOOD AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0832,008,15,66,24,1160501,1861112,2010,02/10/2018 03:50:01 PM,41.774586056,-87.68718228,(41.774586056, -87.68718228)
10760407,HZ524333,11/21/2016 05:50:00 PM,015XX W GRAND AVE,0810,THEFT,OVER $500,STREET,false,false,1215,012,26,24,06,1165894,1903574,2016,02/10/2018 03:50:01 PM,41.890993242,-87.666203484,(41.890993242, -87.666203484)
3690923,HK787682,12/03/2004 02:30:00 PM,056XX S PRINCETON AVE,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,true,false,0711,007,3,68,07,1175247,1867597,2004,02/28/2018 03:56:25 PM,41.792064843,-87.632932296,(41.792064843, -87.632932296)
2144396,HH386571,05/18/2002 11:00:00 PM,039XX N KEELER AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,1731,017,38,16,08A,1147702,1925839,2002,02/10/2018 03:50:01 PM,41.952459207,-87.732441126,(41.952459207, -87.732441126)
2007949,HH203685,02/23/2002 02:07:17 AM,028XX S ST LOUIS AV,2022,NARCOTICS,POSS: COCAINE,STREET,true,false,1032,010,,,18,1153493,1885008,2002,02/28/2018 03:56:25 PM,41.840301624,-87.712239664,(41.840301624, -87.712239664)
1456352,G187787,04/03/2001 01:50:00 AM,049XX W 45 ST,0460,BATTERY,SIMPLE,CHA APARTMENT,false,true,0814,008,,,08B,1144165,1874388,2001,08/17/2015 03:03:40 PM,41.811338776,-87.746736177,(41.811338776, -87.746736177)
2411937,HH714392,10/14/2002 08:35:00 PM,004XX S WESTERN AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,true,false,1211,012,2,28,18,1160478,1897945,2002,02/28/2018 03:56:25 PM,41.875660595,-87.686249636,(41.875660595, -87.686249636)
8052568,HT284290,11/11/2008 12:01:00 AM,075XX S VERNON AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,0624,006,6,69,06,,,2008,08/17/2015 03:03:40 PM,,,
11332313,JB286298,05/31/2018 05:00:00 AM,038XX W LAWRENCE AVE,0810,THEFT,OVER $500,RESTAURANT,false,false,1723,017,39,14,06,1149709,1931617,2018,06/07/2018 03:54:58 PM,41.968275606,-87.724912458,(41.968275606, -87.724912458)
1510985,G252154,05/02/2001 07:10:00 PM,025XX N RUTHERFORD AV,0460,BATTERY,SIMPLE,RESIDENCE,true,true,2512,025,,,08B,1131021,1916469,2001,08/17/2015 03:03:40 PM,41.927051409,-87.793978779,(41.927051409, -87.793978779)
10335472,HY526596,12/06/2015 02:39:00 AM,043XX W 26TH ST,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,RESTAURANT,false,false,1031,010,22,30,05,1147638,1886358,2015,02/10/2018 03:50:01 PM,41.844120378,-87.733690797,(41.844120378, -87.733690797)
2867400,HJ529027,07/30/2003 02:15:00 PM,011XX N LARRABEE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,true,false,1823,018,27,8,26,1172122,1908040,2003,02/28/2018 03:56:25 PM,41.903113054,-87.643199348,(41.903113054, -87.643199348)
7653014,HS457647,08/11/2010 06:15:00 PM,021XX W CERMAK RD,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,false,false,1034,010,25,31,14,1162407,1889381,2010,02/10/2018 03:50:01 PM,41.852120045,-87.67940658,(41.852120045, -87.67940658)
1784113,G595240,10/04/2001 12:25:00 PM,021XX N LONG AV,1330,CRIMINAL TRESPASS,TO LAND,"SCHOOL, PUBLIC, BUILDING",true,false,2515,025,,,26,1139989,1913970,2001,08/17/2015 03:03:40 PM,41.920034359,-87.761085966,(41.920034359, -87.761085966)
5745271,HN554689,08/28/2007 05:20:00 AM,111XX S GREEN ST,0810,THEFT,OVER $500,STREET,false,false,2233,022,34,75,06,1172636,1831036,2007,02/28/2018 03:56:25 PM,41.691794589,-87.643580918,(41.691794589, -87.643580918)
1397160,G109725,02/24/2001 03:05:00 AM,020XX N MILWAUKEE AV,0460,BATTERY,SIMPLE,STREET,true,false,1431,014,,,08B,1159740,1913247,2001,08/17/2015 03:03:40 PM,41.917665802,-87.688537054,(41.917665802, -87.688537054)
10843603,JA146945,02/08/2017 08:50:00 PM,035XX W DIVISION ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1422,014,26,23,06,1152541,1907764,2017,02/15/2017 03:56:10 PM,41.90276543,-87.715131741,(41.90276543, -87.715131741)
8443628,HV121451,01/16/2012 02:06:00 PM,005XX W 31ST ST,0820,THEFT,$500 AND UNDER,GAS STATION,true,false,0924,009,11,60,06,1173380,1884371,2012,02/10/2018 03:50:01 PM,41.838135834,-87.639281463,(41.838135834, -87.639281463)
7944684,HT167947,02/18/2011 12:21:00 PM,068XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0322,003,20,69,08B,1180100,1859674,2011,02/10/2018 03:50:01 PM,41.770213487,-87.615379862,(41.770213487, -87.615379862)
3900990,HL274363,04/04/2005 07:00:00 PM,027XX S STATE ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,2113,001,3,35,26,1176730,1886544,2005,02/28/2018 03:56:25 PM,41.844023772,-87.626923253,(41.844023772, -87.626923253)
9709829,HX359592,06/27/2014 09:00:00 AM,074XX S PHILLIPS AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,false,false,0334,003,7,43,06,1193935,1856122,2014,02/10/2018 03:50:01 PM,41.76013843,-87.564783645,(41.76013843, -87.564783645)
8981633,HW129006,01/24/2013 12:40:00 AM,066XX S ARTESIAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0832,008,15,66,08B,1161183,1860589,2013,02/10/2018 03:50:01 PM,41.773136782,-87.684696625,(41.773136782, -87.684696625)
2936952,HJ620967,09/10/2003 04:58:16 PM,041XX W CERMAK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1012,010,24,29,08B,1148958,1889052,2003,02/28/2018 03:56:25 PM,41.851487667,-87.728776988,(41.851487667, -87.728776988)
11046912,JA382154,08/02/2017 08:00:00 AM,079XX S BISHOP ST,0820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,false,false,0612,006,21,71,06,1168042,1852249,2017,02/10/2018 03:50:01 PM,41.750106007,-87.659792541,(41.750106007, -87.659792541)
1428942,G150148,03/16/2001 08:39:03 AM,041XX S CAMPBELL AV,0610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,false,false,0914,009,,,05,1160428,1876772,2001,08/17/2015 03:03:40 PM,41.817560656,-87.687018274,(41.817560656, -87.687018274)
2182624,HH439360,06/12/2002 07:00:00 PM,074XX S ROCKWELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0835,008,18,66,07,1160329,1855269,2002,02/28/2018 03:56:25 PM,41.758555556,-87.68797352,(41.758555556, -87.68797352)
8068369,HT300178,05/17/2011 01:25:00 PM,025XX W 59TH ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,0824,008,16,66,26,1160280,1865451,2011,02/10/2018 03:50:01 PM,41.786497429,-87.68787304,(41.786497429, -87.68787304)
10493805,HZ233451,04/20/2016 01:10:00 PM,057XX S WENTWORTH AVE,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,ALLEY,false,false,0232,002,20,68,04A,1175955,1866633,2016,02/10/2018 03:50:01 PM,41.789403671,-87.630365095,(41.789403671, -87.630365095)
6282405,HP370828,06/02/2008 01:01:39 PM,008XX W 103RD ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,false,false,2232,022,34,73,06,1172655,1836545,2008,02/28/2018 03:56:25 PM,41.706911711,-87.643349776,(41.706911711, -87.643349776)
2153921,HH402733,05/28/2002 07:20:00 PM,107XX S BENSLEY AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,0434,004,10,51,08A,1194565,1834245,2002,02/28/2018 03:56:25 PM,41.700090524,-87.563192125,(41.700090524, -87.563192125)
10172514,HY360054,07/29/2015 05:30:00 AM,017XX N MOZART ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,1421,014,1,24,08B,1157154,1911439,2015,02/10/2018 03:50:01 PM,41.912757465,-87.698087329,(41.912757465, -87.698087329)
9763028,HX413198,09/02/2014 09:40:00 PM,105XX S MORGAN ST,4625,OTHER OFFENSE,PAROLE VIOLATION,STREET,true,false,2232,022,34,73,26,1171516,1834981,2014,02/10/2018 03:50:01 PM,41.702644824,-87.647566382,(41.702644824, -87.647566382)
1873359,G719251,11/30/2001 05:01:00 PM,014XX S THROOP ST,0560,ASSAULT,SIMPLE,CHA PARKING LOT/GROUNDS,false,true,1231,012,,,08A,1167969,1893453,2001,08/17/2015 03:03:40 PM,41.863175919,-87.658875157,(41.863175919, -87.658875157)
1766519,G580970,09/27/2001 10:37:45 PM,055XX S PAYNE DR,4210,KIDNAPPING,KIDNAPPING,STREET,false,false,0234,002,,,26,1182162,1868704,2001,08/17/2015 03:03:40 PM,41.794945155,-87.607542104,(41.794945155, -87.607542104)
8959180,HW108336,01/06/2013 07:00:00 PM,021XX N MC VICKER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2512,025,29,19,06,1135725,1913500,2013,02/10/2018 03:50:01 PM,41.918821633,-87.77676409,(41.918821633, -87.77676409)
6318621,HP405362,06/20/2008 03:09:49 AM,024XX W DEVON AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,CURRENCY EXCHANGE,false,false,2412,024,50,2,10,1159072,1942417,2008,02/28/2018 03:56:25 PM,41.997723659,-87.690186971,(41.997723659, -87.690186971)
10851929,JA156124,02/16/2017 03:00:00 PM,064XX N CLARK ST,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2432,024,40,1,08B,1164377,1942660,2017,02/10/2018 03:50:01 PM,41.99827946,-87.670664922,(41.99827946, -87.670664922)
6542156,HP609548,10/04/2008 10:05:00 PM,012XX W 76TH ST,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,SIDEWALK,false,false,0612,006,17,71,03,1169395,1854429,2008,02/28/2018 03:56:25 PM,41.756059048,-87.654771544,(41.756059048, -87.654771544)
1760322,G571043,09/23/2001 01:41:00 PM,034XX W NORTH AV,0460,BATTERY,SIMPLE,STREET,true,true,1422,014,,,08B,1153279,1910383,2001,08/17/2015 03:03:40 PM,41.90993758,-87.712351276,(41.90993758, -87.712351276)
9822727,HX472523,10/18/2014 05:45:00 AM,052XX W MADISON ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,1522,015,29,25,03,1141512,1899523,2014,02/10/2018 03:50:01 PM,41.880362084,-87.755847438,(41.880362084, -87.755847438)
5790157,HN599995,09/19/2007 10:00:00 PM,046XX S WINCHESTER AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0914,009,20,61,06,1164131,1874004,2007,02/28/2018 03:56:25 PM,41.809887711,-87.673512514,(41.809887711, -87.673512514)
6285281,HP366766,05/31/2008 08:05:00 AM,040XX W GRAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,2534,025,30,23,14,1148992,1909222,2008,02/28/2018 03:56:25 PM,41.90683577,-87.728130174,(41.90683577, -87.728130174)
10732280,HZ491623,10/26/2016 08:00:00 PM,016XX W 66TH ST,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0725,007,15,67,05,1166671,1860948,2016,02/10/2018 03:50:01 PM,41.77400658,-87.664568674,(41.77400658, -87.664568674)
3298638,HK328285,04/27/2004 03:00:00 PM,019XX E 73RD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0333,003,5,43,08B,1190612,1856624,2004,02/28/2018 03:56:25 PM,41.761596782,-87.57694609,(41.761596782, -87.57694609)
9968900,HY158022,02/20/2015 04:15:00 PM,014XX N PULASKI RD,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,2534,025,30,23,16,1149458,1909153,2015,02/10/2018 03:50:01 PM,41.906637392,-87.726420143,(41.906637392, -87.726420143)
2802594,HJ455476,06/26/2003 05:34:18 PM,022XX W MONROE ST,0460,BATTERY,SIMPLE,APARTMENT,false,true,1211,012,2,28,08B,1161545,1899505,2003,02/28/2018 03:56:25 PM,41.879919234,-87.682288562,(41.879919234, -87.682288562)
1965234,HH146708,01/25/2002 12:15:00 AM,025XX W 59 ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,0824,008,,,18,,,2002,08/17/2015 03:03:40 PM,,,
2611372,HJ212631,03/01/2003 05:15:00 PM,015XX S BLUE ISLAND AVE,1330,CRIMINAL TRESPASS,TO LAND,OTHER RAILROAD PROP / TRAIN DEPOT,true,false,1222,012,2,28,26,1168176,1892810,2003,02/28/2018 03:56:25 PM,41.861407008,-87.658133845,(41.861407008, -87.658133845)
8627967,HV301115,05/24/2012 11:35:00 AM,014XX E 75TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,OTHER,true,false,0324,003,5,43,15,1187256,1855553,2012,02/04/2016 06:33:39 AM,41.758738179,-87.58927992,(41.758738179, -87.58927992)
7783027,HS586806,10/28/2010 09:00:00 AM,029XX N KENOSHA AVE,0460,BATTERY,SIMPLE,STREET,false,false,2523,025,31,20,08B,1147363,1919276,2010,02/04/2016 06:33:39 AM,41.934456293,-87.733856041,(41.934456293, -87.733856041)
2212338,HH477547,06/30/2002 03:00:00 AM,080XX S PHILLIPS AVE,0460,BATTERY,SIMPLE,RESIDENCE,false,true,0422,004,7,46,08B,1193916,1852195,2002,02/28/2018 03:56:25 PM,41.749362899,-87.564981816,(41.749362899, -87.564981816)
3042402,HJ754470,11/12/2003 01:45:00 AM,046XX N KEDZIE AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,false,false,1713,017,33,14,05,1154216,1930501,2003,02/28/2018 03:56:25 PM,41.965124212,-87.708370325,(41.965124212, -87.708370325)
8094372,HT326476,06/02/2011 09:00:00 AM,034XX W WABANSIA AVE,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,1422,014,26,23,08A,1153230,1911085,2011,02/04/2016 06:33:39 AM,41.911864905,-87.712512617,(41.911864905, -87.712512617)
8459311,HV136737,01/29/2012 10:50:00 AM,056XX W WASHINGTON BLVD,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,SIDEWALK,true,false,1512,015,29,25,26,1138734,1900183,2012,02/10/2018 03:50:01 PM,41.882224052,-87.766032098,(41.882224052, -87.766032098)
10476861,HZ215942,04/06/2016 06:49:00 PM,018XX N WASHTENAW AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,RESIDENCE,true,false,1421,014,1,22,26,1158077,1912191,2016,02/10/2018 03:50:01 PM,41.914802204,-87.694675876,(41.914802204, -87.694675876)
11273924,JB208848,04/02/2018 03:29:00 PM,014XX W GARFIELD BLVD,141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,STREET,false,false,0713,007,16,67,15,1167481,1868132,2018,05/04/2018 03:51:04 PM,41.793703037,-87.661393568,(41.793703037, -87.661393568)
2444555,HH763339,11/06/2002 06:00:00 PM,081XX S COTTAGE GROVE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0631,006,6,44,06,1182972,1851199,2002,02/28/2018 03:56:25 PM,41.746890952,-87.605115375,(41.746890952, -87.605115375)
8614583,HV288221,05/15/2012 08:30:00 PM,116XX S RACINE AVE,0460,BATTERY,SIMPLE,STREET,false,false,0524,005,34,53,08B,1170420,1827561,2012,02/04/2016 06:33:39 AM,41.682307027,-87.651794628,(41.682307027, -87.651794628)
8083636,HT316530,05/20/2011 11:00:00 AM,0000X N PARKSIDE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1513,015,29,25,26,1138599,1899808,2011,02/10/2018 03:50:01 PM,41.881197451,-87.76653692,(41.881197451, -87.76653692)
2295151,HH572393,08/11/2002 04:00:00 AM,035XX W 65TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,0823,008,15,66,08B,1153942,1861285,2002,02/28/2018 03:56:25 PM,41.775193511,-87.711222148,(41.775193511, -87.711222148)
11185407,JA559499,12/22/2017 02:48:00 PM,009XX W 33RD PL,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"SCHOOL, PUBLIC, GROUNDS",false,true,0913,009,11,60,20,1170517,1882762,2017,05/04/2018 03:51:04 PM,41.833783593,-87.649834091,(41.833783593, -87.649834091)
3774686,HK795833,12/07/2004 07:44:24 PM,102XX S AVENUE L,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,SIDEWALK,true,false,0432,004,10,52,18,1201826,1837670,2004,02/28/2018 03:56:25 PM,41.709307764,-87.536489854,(41.709307764, -87.536489854)
4578147,HM162646,01/18/2006 12:00:00 PM,037XX W 61ST PL,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESIDENCE,false,false,0823,008,13,65,10,1152475,1863567,2006,02/28/2018 03:56:25 PM,41.781484669,-87.716540041,(41.781484669, -87.716540041)
8806418,HV480028,09/17/2012 04:40:00 PM,073XX N PAULINA ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,PARK PROPERTY,false,false,2423,024,49,1,04B,1163842,1948847,2012,02/10/2018 03:50:01 PM,42.01526807,-87.672457312,(42.01526807, -87.672457312)
1649231,G422351,07/18/2001 10:35:25 PM,047XX W NORTH AV,0820,THEFT,$500 AND UNDER,DRUG STORE,true,false,2533,025,,,06,1144219,1910247,2001,08/17/2015 03:03:40 PM,41.90973955,-87.745637767,(41.90973955, -87.745637767)
9943413,HY131786,01/21/2015 01:10:00 PM,077XX S PRAIRIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,VACANT LOT/LAND,false,false,0623,006,6,69,07,1179375,1853756,2015,02/10/2018 03:50:01 PM,41.753990431,-87.618217731,(41.753990431, -87.618217731)
5062466,HM668680,10/19/2006 12:10:00 AM,057XX W WEST END AVE,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,1512,015,29,25,08B,1137977,1900889,2006,02/28/2018 03:56:25 PM,41.884175106,-87.768794793,(41.884175106, -87.768794793)
6468952,HP546376,09/01/2008 12:10:00 AM,012XX S LAWNDALE AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,ALLEY,false,false,1011,010,24,29,02,1151904,1894143,2008,02/10/2018 03:50:01 PM,41.865400546,-87.71783042,(41.865400546, -87.71783042)
6601248,HP673496,11/08/2008 10:00:00 PM,104XX S AVENUE N,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0432,004,10,52,14,1201176,1836376,2008,02/28/2018 03:56:25 PM,41.7057734,-87.538913889,(41.7057734, -87.538913889)
4487907,HL789219,12/14/2005 03:52:50 PM,046XX N WESTERN AVE,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,true,false,1911,019,47,4,26,1159528,1930878,2005,02/28/2018 03:56:25 PM,41.966050737,-87.688828911,(41.966050737, -87.688828911)
